date,2yr,5yr,10yr,30yr
2020-01-01,,,,
2020-01-02,0.4501,0.4378,0.5345,0.8359
2020-01-03,0.4487,0.4352,0.5268,0.842
2020-01-06,0.4304,0.4339,0.5128,0.8418
2020-01-07,0.4156,0.4361,0.5072,0.8365
2020-01-08,0.407,0.4251,0.4949,0.8176
2020-01-09,0.4106,0.4238,0.4808,0.8118
2020-01-10,0.4124,0.414,0.4772,0.8229
2020-01-13,0.3938,0.4127,0.4748,0.8196
2020-01-14,0.3952,0.4047,0.4884,0.8234
2020-01-15,0.3946,0.3981,0.4922,0.814
2020-01-16,0.3947,0.3896,0.4951,0.814
2020-01-17,0.3913,0.3878,0.4807,0.7974
2020-01-20,0.3761,0.3866,0.4611,0.7904
2020-01-21,0.3669,0.3838,0.4523,0.783
2020-01-22,0.3585,0.3859,0.4666,0.7907
2020-01-23,0.3468,0.3842,0.4725,0.7786
2020-01-24,0.3509,0.3799,0.4723,0.7778
2020-01-27,0.3352,0.3649,0.4477,0.7652
2020-01-28,0.3345,0.3658,0.4326,0.7652
2020-01-29,0.3221,0.3732,0.4276,0.763
2020-01-30,0.3239,0.3596,0.4207,0.7566
2020-01-31,0.3195,0.3416,0.4206,0.7508
2020-02-03,0.307,0.3281,0.4061,0.7468
2020-02-04,0.2946,0.3253,0.4162,0.75
2020-02-05,0.2935,0.3196,0.4123,0.7461
2020-02-06,0.2929,0.306,0.3973,0.7376
2020-02-07,0.2921,0.3097,0.3886,0.7253
2020-02-10,0.2779,0.3047,0.3768,0.7132
2020-02-11,0.2822,0.3002,0.3859,0.7122
2020-02-12,0.2735,0.291,0.3796,0.7041
2020-02-13,0.2643,0.2843,0.3784,0.7113
2020-02-14,0.2449,0.2794,0.3788,0.7015
2020-02-17,0.2363,0.2831,0.3616,0.699
2020-02-18,0.24,0.2844,0.357,0.6931
2020-02-19,0.2389,0.2896,0.3532,0.6939
2020-02-20,0.227,0.272,0.3544,0.6875
2020-02-21,0.2127,0.2659,0.3456,0.6857
2020-02-24,0.2028,0.2468,0.3356,0.6734
2020-02-25,0.2062,0.2322,0.3409,0.6679
2020-02-26,0.2085,0.2226,0.3454,0.6601
2020-02-27,0.1973,0.2134,0.3289,0.6631
2020-02-28,0.1902,0.2117,0.3235,0.6744
2020-03-02,0.1743,0.2015,0.3054,0.6689
2020-03-03,0.1742,0.2135,0.3134,0.6527
2020-03-04,0.1728,0.2208,0.3021,0.6434
2020-03-05,0.1688,0.2295,0.3013,0.6408
2020-03-06,0.1665,0.2212,0.2942,0.647
2020-03-09,0.1488,0.2143,0.2877,0.6385
2020-03-10,0.1446,0.1996,0.287,0.6327
2020-03-11,0.1398,0.1965,0.2888,0.6254
2020-03-12,0.1276,0.1925,0.2842,0.6151
2020-03-13,0.12,0.1904,0.2889,0.6004
2020-03-16,0.1007,0.1795,0.2774,0.5925
2020-03-17,0.1003,0.175,0.2728,0.5931
2020-03-18,0.0959,0.1714,0.2603,0.6021
2020-03-19,0.1012,0.1593,0.2473,0.5904
2020-03-20,0.0955,0.1468,0.2489,0.5893
2020-03-23,0.088,0.1389,0.2414,0.5868
2020-03-24,0.0717,0.1454,0.2375,0.5935
2020-03-25,0.0739,0.1467,0.2331,0.5895
2020-03-26,0.0694,0.1457,0.2301,0.5803
2020-03-27,0.0804,0.1462,0.2496,0.5897
2020-03-30,0.0843,0.1511,0.2429,0.5836
2020-03-31,0.087,0.158,0.2399,0.5826
2020-04-01,0.0819,0.1608,0.2373,0.568
2020-04-02,0.0756,0.152,0.2523,0.57
2020-04-03,0.0755,0.1519,0.2555,0.5683
2020-04-06,0.075,0.1408,0.2459,0.5778
2020-04-07,0.0705,0.1503,0.2419,0.5891
2020-04-08,0.0601,0.1415,0.2337,0.5911
2020-04-09,0.0561,0.1414,0.2273,0.5821
2020-04-10,0.0645,0.1264,0.2225,0.5851
2020-04-13,0.0696,0.123,0.241,0.5794
2020-04-14,0.0772,0.1166,0.2479,0.578
2020-04-15,0.0722,0.1298,0.2495,0.5563
2020-04-16,0.0718,0.1375,0.2471,0.565
2020-04-17,0.0711,0.1406,0.2596,0.5722
2020-04-20,0.0704,0.1351,0.2553,0.5919
2020-04-21,0.0714,0.1232,0.2493,0.5776
2020-04-22,0.0646,0.1233,0.2476,0.5796
2020-04-23,0.0639,0.125,0.2426,0.5674
2020-04-24,0.0593,0.1277,0.2475,0.578
2020-04-27,0.0553,0.1374,0.2324,0.5611
2020-04-28,0.0591,0.1304,0.2403,0.5677
2020-04-29,0.0583,0.1349,0.2336,0.5672
2020-04-30,0.0639,0.1259,0.2337,0.5748
2020-05-01,0.0634,0.1316,0.2279,0.5702
2020-05-04,0.0667,0.1222,0.2297,0.5612
2020-05-05,0.0695,0.1208,0.2392,0.5581
2020-05-06,0.0662,0.1155,0.2431,0.5521
2020-05-07,0.0614,0.1129,0.2418,0.5462
2020-05-08,0.0573,0.1157,0.2394,0.553
2020-05-11,0.048,0.1174,0.2343,0.56
2020-05-12,0.0425,0.1238,0.2374,0.5653
2020-05-13,0.0359,0.1275,0.2384,0.5623
2020-05-14,0.0389,0.1308,0.256,0.5546
2020-05-15,0.0477,0.1252,0.2501,0.5593
2020-05-18,0.0485,0.1172,0.2428,0.5532
2020-05-19,0.0512,0.1062,0.2334,0.5497
2020-05-20,0.0552,0.1074,0.2391,0.5528
2020-05-21,0.0575,0.1019,0.2384,0.5552
2020-05-22,0.0627,0.1124,0.2323,0.5693
2020-05-25,0.0502,0.1119,0.23,0.563
2020-05-26,0.0506,0.1131,0.2283,0.5583
2020-05-27,0.0417,0.1103,0.2279,0.5539
2020-05-28,0.0442,0.0969,0.2254,0.5564
2020-05-29,0.049,0.0872,0.2342,0.5642
2020-06-01,0.0439,0.0831,0.2324,0.5627
2020-06-02,0.0476,0.0943,0.2226,0.5566
2020-06-03,0.0444,0.1057,0.2079,0.5525
2020-06-04,0.05,0.0952,0.2045,0.5459
2020-06-05,0.0404,0.0949,0.207,0.543
2020-06-08,0.0392,0.1039,0.2154,0.543
2020-06-09,0.0394,0.1148,0.2156,0.5508
2020-06-10,0.0476,0.1158,0.2185,0.5586
2020-06-11,0.0472,0.1037,0.2153,0.5534
2020-06-12,0.0578,0.0977,0.2189,0.5392
2020-06-15,0.055,0.0865,0.2286,0.547
